Timestamp(UTC), Latitude, Longitude, Wave Height(meters), Wave Direction(degrees T), Average Wave Period(seconds), Dominant Wave Period(seconds)
2011-11-22 21:30:00, 36.8092, -122.1423,  1.0,  91,  8.1,  8.5
2011-11-22 22:00:00, 36.8063, -122.1390,  1.2,  66,  7.0,  9.8
2011-11-22 22:30:00, 36.8063, -122.1411,  1.2,  84,  7.2,  9.1
2011-11-22 23:00:00, 36.8088, -122.1409,  1.1,  61,  7.6,  9.8
2011-11-22 23:30:00, 36.8054, -122.1385,  1.2,  61,  7.8, 10.7
2011-11-23 00:00:00, 36.8040, -122.1420,  1.1,  47,  8.1,  9.1
2011-11-23 00:30:00, 36.8091, -122.1423,  1.2,  75,  8.0, 10.7
2011-11-23 01:00:00, 36.8056, -122.1384,  1.4,  68,  7.7,  9.1
2011-11-23 01:30:00, 36.8045, -122.1435,  1.2,  63,  6.8,  8.5
2011-11-23 02:00:00, 36.8080, -122.1391,  1.5,  72,  8.2,  9.8
2011-11-23 02:30:00, 36.8039, -122.1419,  1.5,  63,  7.7,  9.1
2011-11-23 03:00:00, 36.8085, -122.1403,  1.6,  88,  7.4,  6.4
2011-11-23 03:30:00, 36.8051, -122.1386,  1.6,  66,  7.9, 11.6
2011-11-23 04:00:00, 36.8021, -122.1330,  1.7,  90,  9.3,  7.5
2011-11-23 04:30:00, 36.7988, -122.1259,  1.3, 102,  7.8,  9.8
2011-11-23 05:00:00, 36.7947, -122.1169,  1.5,  69,  7.0, 18.3
2011-11-23 07:30:00, 36.7805, -122.0881,  1.7,  95,  6.7,  7.5
2011-11-23 08:00:00, 36.7854, -122.1024,  1.9,  71,  6.1,  9.8
2011-11-23 08:30:00, 36.7911, -122.1191,  1.8, 203,  7.9,  8.5
2011-11-23 09:00:00, 36.7962, -122.1347,  1.8,  74,  6.1,  9.8
2011-11-23 09:30:00, 36.8014, -122.1494,  2.1,  50,  7.1,  9.1
2011-11-23 10:00:00, 36.8063, -122.1638,  2.2,  54,  7.6, 11.6
2011-11-23 10:30:00, 36.8029, -122.1684,  2.7,  63,  7.6, 12.8
2011-11-29 02:00:00, 36.7656, -122.0121,  2.1,  68,  9.1, 16.0
2011-11-29 02:30:00, 36.7578, -122.0009,  2.1,  80,  9.8, 12.8
2011-11-29 03:00:00, 36.7465, -121.9994,  2.1,  54,  9.2, 11.6
2011-11-29 03:30:00, 36.7381, -122.0055,  2.4,  59, 10.3, 21.3
2011-11-29 04:00:00, 36.7337, -122.0158,  2.2,  46,  7.4, 21.3
2011-11-29 07:30:00, 36.7581, -122.0013,  2.5,  65,  8.4, 11.6
2011-11-29 08:00:00, 36.7446, -122.0001,  2.7,  73,  8.6, 12.8
2011-11-29 08:30:00, 36.7349, -122.0096,  2.7, 153,  9.0, 21.3
2011-11-29 09:30:00, 36.7365, -122.0326,  2.7,  65,  7.8, 16.0
2011-11-29 11:30:00, 36.7660, -122.0263,  3.0,  54,  8.2, 14.2
2011-11-29 12:00:00, 36.7654, -122.0109,  3.0,  68,  7.8, 25.6
2011-11-29 12:30:00, 36.7569, -122.0005,  2.4, 100,  9.1, 14.2
2011-11-29 13:00:00, 36.7463, -121.9996,  2.5,  59,  9.4, 12.8
2011-11-29 13:30:00, 36.7389, -122.0043,  2.8,  41, 10.2, 14.2
2011-11-29 14:00:00, 36.7346, -122.0107,  2.9,  68,  9.2, 11.6
2011-11-29 14:30:00, 36.7329, -122.0190,  3.0,  84,  9.7, 11.6
2011-11-29 15:00:00, 36.7344, -122.0285,  3.1,  64,  7.7, 14.2
2011-11-29 15:30:00, 36.7388, -122.0358,  3.3,  69,  8.4, 12.8
2011-11-29 16:00:00, 36.7460, -122.0403,  2.3, 189,  8.0, 25.6
2011-11-29 16:30:00, 36.7547, -122.0401,  2.7,  68,  7.6, 10.7
2011-11-29 17:00:00, 36.7644, -122.0315,  2.7,  31,  8.8, 12.8
2011-11-29 17:30:00, 36.7665, -122.0158,  2.5,  71, 10.0, 12.8
2011-11-29 18:00:00, 36.7602, -122.0031,  2.7,  90,  9.5, 12.8
2011-11-29 18:30:00, 36.7497, -121.9985,  2.4,  83,  8.4, 11.6
2011-11-29 19:00:00, 36.7386, -122.0047,  2.7,  96, 10.8, 21.3
2011-12-02 13:00:00, 36.8032, -122.1260,  2.2,  77,  6.5, 16.0
2011-12-02 13:30:00, 36.8047, -122.1303,  2.0,  81,  8.1, 10.7
2011-12-02 14:00:00, 36.8058, -122.1338,  1.8,  56,  7.1, 10.7
2011-12-02 14:30:00, 36.8069, -122.1366,  1.7,  67,  6.4, 12.8
2011-12-02 15:00:00, 36.8074, -122.1383,  1.8,  62,  8.0, 11.6
2011-12-02 15:30:00, 36.8076, -122.1390,  1.8,  42,  8.3, 25.6
2011-12-02 16:00:00, 36.8073, -122.1384,  1.5,  64,  7.5,  9.1
2011-12-02 16:30:00, 36.8075, -122.1384,  2.1,  18,  8.9, 25.6
2011-12-02 17:00:00, 36.8075, -122.1389,  1.7,  64,  7.2, 11.6
2011-12-02 17:30:00, 36.8077, -122.1392,  1.4,  60,  6.8, 10.7
2011-12-02 18:00:00, 36.8081, -122.1405,  1.6,  57,  7.8, 11.6
2011-12-02 18:30:00, 36.8090, -122.1431,  1.7,  73,  7.4, 18.3
2011-12-02 19:00:00, 36.8100, -122.1462,  1.8,  85,  8.5, 14.2
2011-12-02 19:30:00, 36.8107, -122.1493,  2.2,  49,  8.6,  9.8
2011-12-02 20:00:00, 36.8109, -122.1515,  1.8,  43,  7.4,  9.8
2011-12-02 20:30:00, 36.8124, -122.1551,  1.6,  20,  7.4,  9.8
2011-12-02 21:00:00, 36.8141, -122.1591,  1.6,  61,  6.8,  8.0
2011-12-02 21:30:00, 36.8144, -122.1637,  2.2,  56,  8.8,  8.0
2011-12-02 22:00:00, 36.8084, -122.1557,  2.3,  26,  8.8, 10.7
2011-12-02 22:30:00, 36.8032, -122.1404,  1.9,  63, 10.3, 10.7
2011-12-02 23:00:00, 36.7977, -122.1244,  2.6, 106, 10.4, 16.0
2011-12-02 23:30:00, 36.7924, -122.1087,  1.7,  79,  8.7, 16.0
2011-12-03 00:00:00, 36.7871, -122.0935,  1.8,  59,  8.3, 10.7
2011-12-03 00:30:00, 36.7818, -122.0776,  2.5,  54,  8.5,  9.8
2011-12-03 01:00:00, 36.7856, -122.0748,  2.0,  67,  8.3, 11.6
2011-12-03 20:30:00, 36.8009, -122.1195,  2.1,  72,  8.3, 12.8
2011-12-03 21:00:00, 36.8038, -122.1281,  2.0,  88,  8.0, 14.2
2011-12-03 21:30:00, 36.8055, -122.1328,  2.1,  58,  9.9, 11.6
2011-12-03 22:00:00, 36.8065, -122.1360,  2.1,  66,  9.6, 14.2
2011-12-03 22:30:00, 36.8075, -122.1391,  2.1,  70,  8.4, 14.2
2011-12-03 23:00:00, 36.8087, -122.1423,  1.9,  70,  8.0, 12.8
2011-12-03 23:30:00, 36.8104, -122.1472,  2.5,  65, 10.7, 11.6
2011-12-04 00:00:00, 36.8123, -122.1525,  2.5,  73,  8.5, 14.2
2011-12-04 00:30:00, 36.8141, -122.1582,  1.8,  99,  7.5, 14.2
2011-12-04 01:00:00, 36.8156, -122.1626,  1.6,  61,  8.1, 10.7
2011-12-04 01:30:00, 36.8094, -122.1597,  1.7,  64,  8.8, 14.2
2011-12-04 02:00:00, 36.8047, -122.1450,  2.0,  80,  9.9, 14.2
2011-12-04 02:30:00, 36.8000, -122.1316,  1.9,  84,  9.5, 16.0
