Timestamp(UTC), Latitude, Longitude, Wave Height(meters), Wave Direction(degrees T), Average Wave Period(seconds), Dominant Wave Period(seconds)
2011-12-04 03:00:00, 36.7730, -122.0945,  1.8,  83,  6.6, 14.2
2011-12-04 03:30:00, 36.7760, -122.1036,  2.0,  72,  7.6, 11.6
2011-12-04 04:00:00, 36.7785, -122.1118,  1.8,  59,  8.5, 14.2
2011-12-04 04:30:00, 36.7805, -122.1167,  1.8,  58,  7.0, 14.2
2011-12-04 05:00:00, 36.7821, -122.1210,  1.8,  73,  8.2, 14.2
2011-12-04 05:30:00, 36.7832, -122.1247,  1.6,  74,  9.3, 12.8
2011-12-04 06:00:00, 36.7844, -122.1287,  1.9,  87,  9.1, 14.2
2011-12-04 06:30:00, 36.7861, -122.1333,  1.8,  57,  8.6, 11.6
2011-12-04 07:00:00, 36.7878, -122.1379,  1.6,  69,  8.1, 11.6
2011-12-04 07:30:00, 36.7895, -122.1430,  1.4,  36,  7.5,  9.1
2011-12-04 08:00:00, 36.7912, -122.1483,  2.0,  66,  8.3, 12.8
2011-12-04 08:30:00, 36.7929, -122.1535,  2.0,  75,  9.0, 12.8
2011-12-04 09:00:00, 36.7946, -122.1583,  2.1,  64,  9.9, 11.6
2011-12-04 09:30:00, 36.7968, -122.1647,  1.6,  54,  8.0, 12.8
2011-12-04 10:00:00, 36.7993, -122.1725,  1.6,  53,  7.9, 12.8
2011-12-04 10:30:00, 36.7931, -122.1686,  2.0,  70, 10.6, 14.2
2011-12-04 11:00:00, 36.7902, -122.1595,  2.0,  63,  9.7, 12.8
2011-12-04 11:30:00, 36.7867, -122.1491,  1.8,  60,  8.6, 10.7
2011-12-04 12:00:00, 36.7828, -122.1379,  1.2, 180,  5.3, 12.8
2011-12-04 12:30:00, 36.7790, -122.1269,  1.5,  97,  7.2,  9.8
2011-12-04 13:00:00, 36.7758, -122.1173,  1.7,  35,  7.4, 18.3
2011-12-04 13:30:00, 36.7729, -122.1087,  2.1,  42,  8.5, 25.6
2011-12-04 14:00:00, 36.7703, -122.1010,  1.6, 151,  8.0, 25.6
2011-12-04 14:30:00, 36.7677, -122.0934,  2.2, 205, 10.2, 25.6
2011-12-04 15:00:00, 36.7649, -122.0854,  2.2,  91,  9.6, 18.3
2011-12-04 15:30:00, 36.7707, -122.0865,  1.5,  62,  6.8, 12.8
2011-12-04 16:00:00, 36.7756, -122.1019,  2.0,  68,  7.7, 10.7
2011-12-04 22:00:00, 36.7810, -122.1320,  1.4,  59,  8.2, 11.6
2011-12-04 22:30:00, 36.7782, -122.1249,  1.5,  62,  8.7, 10.7
2011-12-04 23:00:00, 36.7752, -122.1156,  1.7,  65,  8.0, 12.8
2011-12-04 23:30:00, 36.7715, -122.1050,  1.2,  71,  8.3, 12.8
2011-12-05 00:00:00, 36.7678, -122.0940,  1.3,  66,  7.0,  9.1
2011-12-05 00:30:00, 36.7653, -122.0837,  1.6,  94,  8.2, 14.2
2011-12-05 01:00:00, 36.7709, -122.0880,  1.6,  84,  8.3, 25.6
2011-12-05 01:30:00, 36.7743, -122.0978,  1.4, 244,  7.1, 25.6
2011-12-05 02:00:00, 36.7771, -122.1073,  1.6, 106,  8.2,  8.5
2011-12-05 02:30:00, 36.7804, -122.1164,  1.6,  73,  7.3, 25.6
2011-12-05 03:00:00, 36.7832, -122.1250,  1.8,  61,  7.7,  8.0
2011-12-05 03:30:00, 36.7862, -122.1336,  1.8, 200,  7.9, 10.7
2011-12-05 04:00:00, 36.7893, -122.1428,  1.7, 286,  7.1, 25.6
2011-12-05 05:00:00, 36.7940, -122.1560,  1.6,  68,  7.5, 14.2
2011-12-05 05:30:00, 36.7955, -122.1611,  1.9,  66,  8.8,  9.8
2011-12-05 06:00:00, 36.7960, -122.1623,  1.7,  60,  9.5, 11.6
2011-12-05 06:30:00, 36.7972, -122.1658,  1.7,  88,  7.2, 12.8
2011-12-05 07:00:00, 36.7989, -122.1713,  1.5,  63,  7.6, 10.7
2011-12-05 07:30:00, 36.7947, -122.1724,  1.4, 100,  8.1, 14.2
2011-12-05 08:00:00, 36.7925, -122.1666,  1.7,  71,  7.3, 12.8
2011-12-05 08:30:00, 36.7912, -122.1627,  1.8,  36,  7.9,  9.1
2011-12-05 09:00:00, 36.7909, -122.1610,  1.5,  68,  8.4,  9.8
2011-12-05 09:30:00, 36.7889, -122.1557,  1.9,  61,  7.3, 11.6
